지역명,연도,월,평당분양가격,전용면적
대구,2016,2,8355.6,85㎡~102㎡
대구,2016,2,9051.9,102㎡~
광주,2016,2,8477.699999999999,모든면적
광주,2016,2,7903.5,60㎡
광주,2016,2,8520.6,60㎡~85㎡
광주,2016,2,,85㎡~102㎡
광주,2016,2,,102㎡~
대전,2016,2,8098.2,모든면적
대전,2016,2,8530.5,60㎡
대전,2016,2,8012.4,60㎡~85㎡
대전,2016,2,8121.299999999999,85㎡~102㎡
대전,2016,2,,102㎡~
울산,2016,2,10051.8,모든면적
울산,2016,2,8527.199999999999,60㎡
울산,2016,2,10074.9,60㎡~85㎡
울산,2016,2,8787.9,85㎡~102㎡
울산,2016,2,9484.199999999999,102㎡~
세종,2016,2,8794.5,모든면적
세종,2016,2,8583.3,60㎡
세종,2016,2,8830.8,60㎡~85㎡
세종,2016,2,8781.3,85㎡~102㎡
세종,2016,2,9081.6,102㎡~
강원,2016,2,7170.9,모든면적
강원,2016,2,7557.0,60㎡
강원,2016,2,7260.0,60㎡~85㎡
강원,2016,2,,85㎡~102㎡
강원,2016,2,7755.0,102㎡~
충북,2016,2,6626.4,모든면적
충북,2016,2,6441.599999999999,60㎡
충북,2016,2,6669.299999999999,60㎡~85㎡
충북,2016,2,7510.799999999999,85㎡~102㎡
충북,2016,2,7461.299999999999,102㎡~
충남,2016,2,7497.599999999999,모든면적
충남,2016,2,8236.8,60㎡
충남,2016,2,7530.599999999999,60㎡~85㎡
충남,2016,2,8385.3,85㎡~102㎡
충남,2016,2,8065.2,102㎡~
전북,2016,2,6534.0,모든면적
전북,2016,2,6296.4,60㎡
전북,2016,2,6557.099999999999,60㎡~85㎡
전북,2016,2,7844.099999999999,85㎡~102㎡
전북,2016,2,7533.9,102㎡~
전남,2016,2,6345.9,모든면적
전남,2016,2,6596.7,60㎡
전남,2016,2,6339.299999999999,60㎡~85㎡
전남,2016,2,7464.599999999999,85㎡~102㎡
전남,2016,2,7180.799999999999,102㎡~
경북,2016,2,7190.7,모든면적
경북,2016,2,7167.599999999999,60㎡
경북,2016,2,7230.299999999999,60㎡~85㎡
경북,2016,2,8355.6,85㎡~102㎡
경북,2016,2,7741.799999999999,102㎡~
경남,2016,2,7781.4,모든면적
경남,2016,2,7791.299999999999,60㎡
경남,2016,2,7837.5,60㎡~85㎡
경남,2016,2,9652.5,85㎡~102㎡
경남,2016,2,8820.9,102㎡~
제주,2016,2,7484.4,모든면적
제주,2016,2,,60㎡
제주,2016,2,7458.0,60㎡~85㎡
제주,2016,2,8523.9,85㎡~102㎡
제주,2016,2,8494.199999999999,102㎡~
서울,2016,3,20370.899999999998,모든면적
서울,2016,3,21615.0,60㎡
서울,2016,3,20219.1,60㎡~85㎡
서울,2016,3,23690.699999999997,85㎡~102㎡
서울,2016,3,21024.3,102㎡~
인천,2016,3,10527.0,모든면적
인천,2016,3,10965.9,60㎡
인천,2016,3,10266.3,60㎡~85㎡
인천,2016,3,11698.5,85㎡~102㎡
인천,2016,3,11246.4,102㎡~
경기,2016,3,10609.5,모든면적
경기,2016,3,11355.3,60㎡
경기,2016,3,10754.699999999999,60㎡~85㎡
경기,2016,3,11097.9,85㎡~102㎡
경기,2016,3,12144.0,102㎡~
부산,2016,3,10487.4,모든면적
부산,2016,3,9738.3,60㎡
부산,2016,3,10236.599999999999,60㎡~85㎡
부산,2016,3,9758.1,85㎡~102㎡
부산,2016,3,12299.099999999999,102㎡~
대구,2016,3,10292.699999999999,모든면적
대구,2016,3,11025.3,60㎡
대구,2016,3,10408.199999999999,60㎡~85㎡
대구,2016,3,8378.699999999999,85㎡~102㎡
대구,2016,3,9051.9,102㎡~
광주,2016,3,8547.0,모든면적
광주,2016,3,8151.0,60㎡
광주,2016,3,8583.3,60㎡~85㎡
광주,2016,3,,85㎡~102㎡
광주,2016,3,,102㎡~
대전,2016,3,8098.2,모든면적
대전,2016,3,8530.5,60㎡
대전,2016,3,8012.4,60㎡~85㎡
대전,2016,3,8121.299999999999,85㎡~102㎡
대전,2016,3,,102㎡~
울산,2016,3,10117.8,모든면적
울산,2016,3,8527.199999999999,60㎡
울산,2016,3,10147.5,60㎡~85㎡
울산,2016,3,8787.9,85㎡~102㎡
울산,2016,3,10088.1,102㎡~
세종,2016,3,8811.0,모든면적
세종,2016,3,8583.3,60㎡
세종,2016,3,8847.3,60㎡~85㎡
세종,2016,3,8811.0,85㎡~102㎡
세종,2016,3,9081.6,102㎡~
