모델명,제조사,유종,배기량,변속형식,복합연비,등급,CO2배출량
"투싼 개조차 2.0디젤 2WD 8AT (17""타이어)",현대,경유,1995 ,자동8,14.4,2등급,131
"투싼 개조차 1.6디젤 AWD (17""타이어)",현대,경유,1598 ,자동7,14.4,2등급,130
MINI Cooper SD Clubman,MINI,경유,1995 ,자동8,14.6,2등급,129
BMW X1 xDrive20d,BMW,경유,1995 ,자동8,14.4,2등급,131
ACCORD 1.5T,혼다,휘발유,1498 ,무단변속,13.9,2등급,118
MINI Cooper D Countryman,MINI,경유,1995 ,자동8,13.8,2등급,137
ACCORD 1.5T,혼다,휘발유,1498 ,무단변속,13.9,2등급,118
BMW X2 xDrive20d,BMW,경유,1995 ,자동8,14.2,2등급,133
MINI Cooper D Clubman,MINI,경유,1995 ,자동8,14.7,2등급,128
볼보 V40CCD3,볼보,경유,1969 ,자동6,15.1,2등급,124
트랙스 1.6 디젤,한국지엠,경유,1598 ,자동6,14.1,2등급,135
MINI Cooper SD Five Door,MINI,경유,1995 ,자동8,15.8,2등급,119
BMW 118d WLTP,BMW,경유,1995 ,자동8,13.9,2등급,136
E220 d Cabriolet,벤츠,경유,1950 ,자동9,14.2,2등급,134
E220 d Cabriolet,벤츠,경유,1950 ,자동9,14.3,2등급,132
C220 d 4Matic,벤츠,경유,1950 ,자동9,14.2,2등급,134
Tiguan 2.0 TDI,폭스바겐,경유,1968 ,자동7,14.5,2등급,131
"쏘렌토(19MY) 2.0디젤 2WD ISG 5인 (18"" 타이어)",기아,경유,1995 ,자동8,13.8,2등급,138
C220 d,벤츠,경유,2143 ,자동7,14.9,2등급,127
K3 1.6 가솔린 CVT (17인치 타이어),기아,휘발유,1598 ,무단변속,14.1,2등급,117
K3 1.6 가솔린 CVT (15인치 타이어),기아,휘발유,1598 ,무단변속,15.2,2등급,108
K3 1.6 가솔린 CVT (16인치 타이어),기아,휘발유,1598 ,무단변속,14.4,2등급,114
싼타페 2.0 디젤 2WD 5인 (18'' 타이어),현대,경유,1995 ,자동8,13.8,2등급,138
싼타페 2.0 디젤 2WD 7인 (18'' 타이어),현대,경유,1995 ,자동8,13.8,2등급,138
Passat GT 2.0 TDI,폭스바겐,경유,1968 ,자동6,15.1,2등급,125
A4 35 TDI quattro,아우디,경유,1968 ,자동7,14,2등급,136
A4 35 TDI,아우디,경유,1968 ,자동7,15.2,2등급,124
A4 30 TDI,아우디,경유,1968 ,자동7,15.5,2등급,121
"G80 2.2디젤 2WD (18""타이어) (15)",현대,경유,2199 ,자동8,13.8,2등급,138
크루즈 1.6 디젤,한국지엠,경유,1598 ,자동6,15.5,2등급,121
토요타 CAMRY Hybrid XLE,토요타,휘발유,2494 ,무단변속,15.1,2등급,106
A6 35 TDI,아우디,경유,1968 ,자동7,14.6,2등급,129
A6 35 TDI,아우디,경유,1968 ,자동7,14.4,2등급,131
G70 2.2디젤 2WD_18인치타이어 (15),현대,경유,2199 ,자동8,14.5,2등급,130
G70 2.2디젤 2WD_17인치타이어 (15),현대,경유,2199 ,자동8,15.2,2등급,124
"C220 d (17"", 18"", 19"" Tire)",벤츠,경유,2143 ,자동9,15.2,2등급,124
E220 d,벤츠,경유,1950 ,자동9,14.2,2등급,134
C220 d,벤츠,경유,2143 ,자동9,14.5,2등급,131
C220 d Coupe,벤츠,경유,2143 ,자동9,14.7,2등급,128
C200 d,벤츠,경유,1598 ,자동7,14.5,2등급,131
E220 d Coupe,벤츠,경유,1950 ,자동9,14.6,2등급,130
CIVIC 4D,혼다,휘발유,1996 ,무단변속,14.3,2등급,118
B200 d,벤츠,경유,2143 ,자동7,14.8,2등급,127
트랙스 1.6 디젤,한국지엠,경유,1598 ,자동6,14.6,2등급,129
엑센트 카파 1.4가솔린 (4DR) (15),현대,휘발유,1368 ,수동6,14.1,2등급,115
볼보 V60CCD4,볼보,경유,1969 ,자동8,14.5,2등급,131
스팅어 2.2디젤 2WD_18인치 타이어 (15),기아,경유,2199 ,자동8,14.5,2등급,131
스팅어 2.2디젤 2WD_17인치 타이어 (15),기아,경유,2199 ,자동8,14.8,2등급,128
MINI Cooper SD five-door,MINI,경유,1995 ,자동6,15.4,2등급,121
아베오 1.4 NB MT,한국지엠,휘발유,1362 ,수동6,13.8,2등급,120
볼보 V60D4,볼보,경유,1969 ,자동8,14.7,2등급,129
"SM3 1.6 (15"" Tire)",르노삼성,휘발유,1598 ,무단변속,13.8,2등급,120
"쏘울 1.6디젤 (18""타이어) (15)",기아,경유,1582 ,자동7,14.6,2등급,129
"i40 1.7디젤_7DCT ISG (Wagon_17,18인치 타이어) (15)",현대,경유,1685 ,자동7,14.6,2등급,129
"i40 1.7디젤_7DCT ISG (Sedan_17,18인치 타이어) (15)",현대,경유,1685 ,자동7,15.3,2등급,123
볼보 S60D3,볼보,경유,1969 ,자동6,15.2,2등급,124
볼보 V60D3,볼보,경유,1969 ,자동6,14.7,2등급,129
