"모델명","제조사","유종","배기량","변속형식","복합연비","등급","CO2배출량"
"싼타페 2.2디젤 2WD 7인 18인치타이어","현대","경유","2151","자동8","14.2","2등급","134"
"싼타페 2.2디젤 AWD 5인 20인치타이어","현대","경유","2151","자동8","12.8","3등급","149"
"싼타페 2.2디젤 AWD 5인 18인치타이어(빌트인캠)","현대","경유","2151","자동8","13.2","3등급","144"
"싼타페 2.2디젤 2WD 5인 20인치타이어","현대","경유","2151","자동8","13.6","3등급","139"
"싼타페 2.2디젤 2WD 5인 18인치타이어(빌트인캠)","현대","경유","2151","자동8","13.9","2등급","136"
"싼타페 2.2디젤 AWD 5인 18인치타이어","현대","경유","2151","자동8","13.5","3등급","141"
"싼타페 2.2디젤 AWD 7인 20인치타이어","현대","경유","2151","자동8","12.8","3등급","149"
"싼타페 2.2디젤 AWD 7인 18인치타이어","현대","경유","2151","자동8","13.2","3등급","144"
"싼타페 2.2디젤 2WD 7인 20인치타이어","현대","경유","2151","자동8","13.6","3등급","139"
"싼타페 2.2디젤 2WD 7인 18인치타이어(빌트인캠)","현대","경유","2151","자동8","13.9","2등급","136"
"DS3 CROSSBACK E-TENSE","PSA Automobiles","전기","0","없음","4.3","고속","0"
"911 카레라 S 카브리올레","포르쉐","휘발유","2981","자동8","8.3","5등급","210"
"911 타르가 4S","포르쉐","휘발유","2981","자동8","8.1","5등급","216"
"911 카레라 4S","포르쉐","휘발유","2981","자동8","8.1","5등급","216"
"911 카레라 카브리올레","포르쉐","휘발유","2981","자동8","8.5","5등급","204"
"911 타르가 4","포르쉐","휘발유","2981","자동8","8.2","5등급","213"
"911 카레라 4 카브리올레","포르쉐","휘발유","2981","자동8","8.2","5등급","213"
"A5 Sportback 40 TFSI quattro","아우디","휘발유","1984","자동7","11.3","4등급","150"
"렉서스 ES300h","토요타","휘발유","2487","무단변속","17.2","1등급","91"
"재규어 XF 25t","재규어","휘발유","1997","자동8","10.3","4등급","160"
"재규어 XF 25t AWD","재규어","휘발유","1997","자동8","9.9","4등급","167"
"The Passat GT 2.0 TDI","폭스바겐","경유","1968","자동7","14.9","2등급","126"
"Q7 55 TFSI quattro","아우디","휘발유","2995","자동8","7.9","5등급","219"
