모델명,제조(수입사),차종,유형,복합_연비,1회충전주행거리,도심_연비,고속도로_연비,등급
A8 L 60 TFSI quattro,폭스바겐그룹코리아 주식회사,승용차,일반형,7.7,,6.7,9.6,5등급
BMW X4 M40i,BMW코리아㈜,승용차,다목적형,8.7,,7.8,10.1,5등급
BMW X3 M40i,BMW코리아㈜,승용차,다목적형,8.7,,7.8,10.1,5등급
BMW X5 M50i,BMW코리아㈜,승용차,다목적형,6.6,,5.9,7.7,5등급
"Lincoln Nautilus 2.7 AWD (21"" wheel)",포드세일즈서비스코리아(유),승용차,다목적형,8.8,,7.6,11,5등급
BMW X6 M50i,BMW코리아㈜,승용차,다목적형,7,,6.2,8.1,5등급
911 카레라 S,포르쉐코리아 주식회사,승용차,일반형,8.3,,7.4,9.8,5등급
911 카레라 4S 카브리올레,포르쉐코리아 주식회사,승용차,일반형,8.1,,7.1,9.6,5등급
911 카레라,포르쉐코리아 주식회사,승용차,일반형,8.5,,7.6,10,5등급
911 카레라 4,포르쉐코리아 주식회사,승용차,일반형,8.2,,7.3,9.6,5등급
911 카레라 S 카브리올레,포르쉐코리아 주식회사,승용차,일반형,8.3,,7.4,9.8,5등급
911 카레라 4S,포르쉐코리아 주식회사,승용차,일반형,8.1,,7.1,9.6,5등급
911 카레라 4 카브리올레,포르쉐코리아 주식회사,승용차,일반형,8.2,,7.3,9.6,5등급
카니발 3.5GDI 7인 19인치타이어,기아 주식회사,승용차,기타형,8.9,,7.8,10.8,5등급
카니발 3.5GDI 7인 19인치타이어(빌트인캠),기아 주식회사,승용차,기타형,8.9,,7.8,10.8,5등급
카니발 3.5GDI 9인 18인치/19인치타이어,기아 주식회사,승용차,기타형,9.1,,8,11,5등급
카니발 3.5GDI 9인 18인치/19인치타이어 (빌트인캠),기아 주식회사,승용차,기타형,9.1,,8,10.9,5등급
페라리 Roma,(주) 에프엠케이,승용차,일반형,7.4,,6.5,9.1,5등급
카니발 3.5GDI 11인 18인치타이어,기아 주식회사,승합차,일반형,9.1,,8,11,5등급
카니발 3.5GDI 11인 18인치타이어(빌트인캠),기아 주식회사,승합차,일반형,9.1,,8,10.9,5등급
911 타르가 4S,포르쉐코리아 주식회사,승용차,일반형,8.1,,7.1,9.6,5등급
911 카레라 카브리올레,포르쉐코리아 주식회사,승용차,일반형,8.5,,7.6,10,5등급
911 타르가 4,포르쉐코리아 주식회사,승용차,일반형,8.2,,7.3,9.6,5등급
BMW X7 M50i,BMW코리아㈜,승용차,다목적형,6.5,,5.8,7.6,5등급
BMW M5 Competition Package,BMW코리아㈜,승용차,일반형,7.6,,6.6,9.2,5등급
CHEVROLET COLORADO AWD,한국지엠주식회사,화물차,일반형,8.1,,7.1,9.8,5등급
CHEVROLET COLORADO RWD,한국지엠주식회사,화물차,일반형,8.3,,7.3,10.1,5등급
BMW X7 M50i,BMW코리아㈜,승용차,다목적형,6.5,,5.8,7.6,5등급
스팅어(CK PE) 3.3T-GDI 2WD_19인치(썸머),기아 주식회사,승용차,일반형,8.8,,7.9,10.2,5등급
스팅어(CK PE) 3.3T-GDI 2WD_19인치(올시즌),기아 주식회사,승용차,일반형,9,,7.9,10.7,5등급
스팅어(CK PE) 3.3T-GDI AWD_19인치(썸머),기아 주식회사,승용차,일반형,8.4,,7.4,10,5등급
스팅어(CK PE) 3.3T-GDI AWD_19인치(올시즌),기아 주식회사,승용차,일반형,8.5,,7.5,10.2,5등급
BMW X5 xDrive40i,BMW코리아㈜,승용차,다목적형,8.1,,7.5,9.1,5등급
BMW 630i xDrive,BMW코리아㈜,승용차,일반형,9.3,,8.2,11,5등급
911 터보 S,포르쉐코리아 주식회사,승용차,일반형,6.8,,6.1,8.1,5등급
BMW M5,BMW코리아㈜,승용차,일반형,7.6,,6.6,9.2,5등급
짚 글래디에이터,스텔란티스코리아 주식회사,화물차,화물,6.5,,5.9,7.3,5등급
Mercedes-AMG E53 4MATIC + Coupe,메르세데스-벤츠코리아(주),승용차,일반형,9.2,,8.4,10.5,5등급
Mercedes-AMG CLA45 S 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,9,,7.8,10.9,5등급
G70(IK PE) 3.3T-GDI 2WD 19인치(썸머)_SP,현대자동차㈜,승용차,일반형,9.1,,8,10.8,5등급
G70(IK PE) 3.3T-GDI AWD 19인치(썸머),현대자동차㈜,승용차,일반형,8.5,,7.4,10.3,5등급
G70(IK PE)3.3T-GDI AWD 19인치(올시즌),현대자동차㈜,승용차,일반형,8.9,,7.7,10.8,5등급
G70(IK PE) 3.3T-GDI 2WD 19인치(썸머),현대자동차㈜,승용차,일반형,9.1,,8,10.8,5등급
G70(IK PE) 3.3T-GDI AWD 19인치(썸머)_SP,현대자동차㈜,승용차,일반형,8.5,,7.4,10.3,5등급
G70(IK PE) 3.3T-GDI AWD 19인치(올시즌)_SP,현대자동차㈜,승용차,일반형,8.9,,7.7,10.8,5등급
Mercedes-AMG E53 4MATIC +,메르세데스-벤츠코리아(주),승용차,일반형,9.2,,8.4,10.5,5등급
Rolls Royce Ghost EWB,BMW코리아㈜,승용차,일반형,5.8,,4.9,7.7,5등급
Rolls Royce Ghost,BMW코리아㈜,승용차,일반형,5.7,,4.8,7.3,5등급
G70(IK PE) 2.0T-GDI AWD 19인치(썸머)_SP,현대자동차㈜,승용차,일반형,9.3,,8.1,11.2,5등급
G70(IK PE) 2.0T-GDI AWD 19인치(썸머),현대자동차㈜,승용차,일반형,9.3,,8.1,11.2,5등급
Rolls Royce Ghost EWB,BMW코리아㈜,승용차,일반형,5.8,,4.9,7.7,5등급
Rolls Royce Ghost,BMW코리아㈜,승용차,일반형,5.7,,4.8,7.3,5등급
마세라티 르반떼 GTS,스텔란티스코리아 주식회사,승용차,다목적형,5.8,,5.1,7,5등급
마세라티 르반떼 트로페오,스텔란티스코리아 주식회사,승용차,다목적형,5.8,,5.1,7,5등급
Mercedes-AMG GT-C Roadster,메르세데스-벤츠코리아(주),승용차,일반형,7,,6.2,8.3,5등급
Mercedes-AMG GT,메르세데스-벤츠코리아(주),승용차,일반형,7,,6.2,8.3,5등급
A8 L 55 TFSI quattro,폭스바겐그룹코리아 주식회사,승용차,일반형,8.7,,7.5,10.9,5등급
짚 글래디에이터,스텔란티스코리아 주식회사,화물차,화물,6.5,,5.9,7.3,5등급
